Date and Time:                Wed May 15 14:34:17.244 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	60387
417.9035	60870
418.16251	61233
418.42151	61265
418.68048	61234
418.93948	61277
419.19846	61279
419.45746	61263
419.71643	61309
419.97543	61307
420.23441	61313
420.49341	61299
420.75238	61325
421.01135	61375
421.27032	61357
421.5293	61372
421.78827	61546
422.04724	65535
422.30621	65535
422.56519	65535
422.82416	65535
423.08313	0
423.34207	0
423.60104	0
423.85999	0
424.11896	0
424.3779	0
424.63687	0
424.89581	0
425.15475	0
425.41373	0
425.67267	0
425.93161	0
426.19055	0
426.44949	0
426.70844	0
426.96738	0
427.22629	0
427.48523	0
427.74417	0
428.00308	0
428.26202	0
428.52094	0
428.77988	0
429.03879	0
429.2977	0
429.55664	0
429.81555	0
430.07446	0
430.33337	0
430.59229	0
430.8512	0
431.11011	0
431.36899	0
431.6279	0
431.88681	0
432.14569	0
432.4046	0
432.66348	0
432.92239	0
433.18127	0
433.44016	0
433.69907	0
433.95795	0
434.21683	0
434.47571	0
434.73459	0
434.99347	0
435.25232	0
435.5112	0
435.77008	0
436.02896	0
436.28781	0
436.54669	0
436.80554	0
437.06439	0
437.32327	0
437.58212	0
437.84097	0
438.09982	0
438.35867	0
438.61752	0
438.87637	0
439.13522	0
439.39404	0
439.65289	0
439.91174	0
440.17056	0
440.42941	0
440.68823	0
440.94705	0
441.20587	0
441.46472	0
441.72354	0
441.98236	0
442.24118	0
442.5	0
442.75879	0
443.01761	0
443.27643	0
443.53522	0
443.79404	0
444.05283	0
444.31165	0
444.57043	0
444.82922	0
445.08801	0
445.34683	0
445.60562	0
445.86441	0
446.12317	0
446.38196	0
446.64075	0
446.89954	0
447.15829	0
447.41708	0
447.67584	0
447.9346	0
448.19339	0
448.45215	0
448.71091	0
448.96967	0
449.22842	0
449.48718	31653
449.74594	24674
450.00467	61603
450.26343	60645
450.52219	60128
450.78091	59830
451.03967	59598
451.2984	59205
451.55713	58791
451.81589	58421
452.07462	57759
452.33334	57474
452.59207	57102
452.8508	56132
453.1095	55356
453.36823	54944
453.62695	53998
453.88565	53573
454.14438	52756
454.40308	52317
454.6618	51131
454.9205	50854
455.1792	50065
455.4379	49360
455.69659	49431
455.95529	48868
456.21399	47905
456.47269	47623
456.73138	46641
456.99005	46900
457.24875	46258
457.50742	45515
457.76611	45448
458.02478	45130
458.28345	44254
458.54211	43898
458.80078	43820
459.05945	43729
459.31812	43080
459.57678	43348
459.83545	42420
460.09409	42593
460.35275	42158
460.61139	42023
460.87006	41480
461.12869	41385
461.38733	41557
461.64597	41353
461.9046	41217
462.16324	41095
462.42188	40485
462.68051	40358
462.93915	40480
463.19775	40059
463.45639	40195
463.715	40098
463.97363	39993
464.23224	40163
464.49084	40236
464.74945	39658
465.00806	39821
465.26666	39848
465.52527	39501
465.78387	39704
466.04248	39132
466.30106	39511
466.55966	39292
466.81824	39538
467.07684	39070
467.33542	39055
467.59399	39459
467.85257	39778
468.11115	39307
468.36972	39331
468.6283	39562
468.88684	39940
469.14542	39742
469.40399	39745
469.66254	39896
469.92108	39985
470.17966	39643
470.4382	40283
470.69675	39970
470.95529	39539
471.21384	40035
471.47238	40149
471.7309	39909
471.98944	40402
472.24799	40167
472.5065	40508
472.76501	40032
473.02356	40356
473.28207	40513
473.54059	40389
473.7991	40475
474.05762	40503
474.31613	40816
474.57462	40650
474.83313	40465
475.09161	40556
475.35013	40544
475.60861	40646
475.8671	41195
476.12561	40457
476.38409	40735
476.64258	41052
476.90106	40805
477.15952	41080
477.418	40745
477.67648	40993
