Date and Time:                Wed May 15 13:55:49.808 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	55986
417.9035	57210
418.16251	57949
418.42151	58809
418.68048	59408
418.93948	60009
419.19846	60453
419.45746	61148
419.71643	61222
419.97543	61248
420.23441	61273
420.49341	61264
420.75238	61284
421.01135	61298
421.27032	61293
421.5293	61337
421.78827	61351
422.04724	61445
422.30621	65535
422.56519	65535
422.82416	20452
423.08313	0
423.34207	0
423.60104	0
423.85999	0
424.11896	0
424.3779	0
424.63687	0
424.89581	0
425.15475	0
425.41373	0
425.67267	0
425.93161	0
426.19055	0
426.44949	0
426.70844	0
426.96738	0
427.22629	0
427.48523	0
427.74417	0
428.00308	0
428.26202	0
428.52094	0
428.77988	0
429.03879	0
429.2977	0
429.55664	0
429.81555	0
430.07446	0
430.33337	0
430.59229	0
430.8512	0
431.11011	0
431.36899	0
431.6279	0
431.88681	0
432.14569	0
432.4046	0
432.66348	0
432.92239	0
433.18127	0
433.44016	0
433.69907	0
433.95795	0
434.21683	0
434.47571	0
434.73459	0
434.99347	0
435.25232	0
435.5112	0
435.77008	0
436.02896	0
436.28781	0
436.54669	0
436.80554	0
437.06439	0
437.32327	0
437.58212	0
437.84097	0
438.09982	0
438.35867	0
438.61752	0
438.87637	0
439.13522	0
439.39404	0
439.65289	0
439.91174	0
440.17056	0
440.42941	0
440.68823	0
440.94705	0
441.20587	0
441.46472	0
441.72354	0
441.98236	0
442.24118	0
442.5	0
442.75879	0
443.01761	0
443.27643	0
443.53522	0
443.79404	0
444.05283	0
444.31165	0
444.57043	0
444.82922	0
445.08801	0
445.34683	0
445.60562	0
445.86441	0
446.12317	0
446.38196	0
446.64075	0
446.89954	0
447.15829	0
447.41708	0
447.67584	0
447.9346	0
448.19339	0
448.45215	0
448.71091	0
448.96967	65535
449.22842	65535
449.48718	47842
449.74594	59256
450.00467	58191
450.26343	57861
450.52219	57384
450.78091	56755
451.03967	55707
451.2984	55421
451.55713	54755
451.81589	53934
452.07462	53238
452.33334	52267
452.59207	51390
452.8508	51383
453.1095	50795
453.36823	49709
453.62695	49506
453.88565	48976
454.14438	47978
454.40308	47637
454.6618	46733
454.9205	46763
455.1792	46086
455.4379	45582
455.69659	45711
455.95529	44960
456.21399	44739
456.47269	44654
456.73138	44099
456.99005	43147
457.24875	43054
457.50742	43551
457.76611	42708
458.02478	42317
458.28345	42206
458.54211	41995
458.80078	42045
459.05945	41817
459.31812	41261
459.57678	41309
459.83545	41579
460.09409	41097
460.35275	40964
460.61139	40837
460.87006	40450
461.12869	40267
461.38733	40561
461.64597	40138
461.9046	40634
462.16324	40549
462.42188	40795
462.68051	41171
462.93915	40591
463.19775	40361
463.45639	40872
463.715	41359
463.97363	40895
464.23224	41164
464.49084	41332
464.74945	41291
465.00806	41597
465.26666	41437
465.52527	41635
465.78387	41460
466.04248	41681
466.30106	42059
466.55966	41884
466.81824	42342
467.07684	42249
467.33542	42252
467.59399	42639
467.85257	42745
468.11115	43066
468.36972	43201
468.6283	43120
468.88684	43763
469.14542	43884
469.40399	43770
469.66254	44059
469.92108	44586
470.17966	44629
470.4382	44831
470.69675	45039
470.95529	45344
471.21384	45441
471.47238	45876
471.7309	46402
471.98944	46123
472.24799	46584
472.5065	46782
472.76501	47454
473.02356	46971
473.28207	47375
473.54059	47800
473.7991	47849
474.05762	48330
474.31613	48483
474.57462	49037
474.83313	49477
475.09161	49103
475.35013	49472
475.60861	50527
475.8671	50393
476.12561	50965
476.38409	51091
476.64258	51356
476.90106	51962
477.15952	52218
477.418	52019
477.67648	52298
