Date and Time:                Wed May 15 14:49:59.686 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	18778
417.9035	19211
418.16251	19618
418.42151	20685
418.68048	21138
418.93948	21916
419.19846	22401
419.45746	23461
419.71643	24041
419.97543	25239
420.23441	26246
420.49341	26766
420.75238	28439
421.01135	29735
421.27032	31991
421.5293	34791
421.78827	40519
422.04724	52761
422.30621	61174
422.56519	61266
422.82416	61817
423.08313	65535
423.34207	65535
423.60104	65535
423.85999	0
424.11896	0
424.3779	0
424.63687	0
424.89581	0
425.15475	0
425.41373	0
425.67267	0
425.93161	0
426.19055	0
426.44949	0
426.70844	0
426.96738	0
427.22629	0
427.48523	0
427.74417	0
428.00308	0
428.26202	0
428.52094	0
428.77988	0
429.03879	0
429.2977	0
429.55664	0
429.81555	0
430.07446	0
430.33337	0
430.59229	0
430.8512	0
431.11011	0
431.36899	0
431.6279	0
431.88681	0
432.14569	0
432.4046	0
432.66348	0
432.92239	0
433.18127	0
433.44016	0
433.69907	0
433.95795	0
434.21683	0
434.47571	0
434.73459	0
434.99347	0
435.25232	0
435.5112	0
435.77008	0
436.02896	0
436.28781	0
436.54669	0
436.80554	0
437.06439	0
437.32327	0
437.58212	0
437.84097	0
438.09982	0
438.35867	0
438.61752	0
438.87637	0
439.13522	0
439.39404	0
439.65289	0
439.91174	0
440.17056	0
440.42941	0
440.68823	0
440.94705	0
441.20587	0
441.46472	0
441.72354	0
441.98236	0
442.24118	0
442.5	0
442.75879	0
443.01761	0
443.27643	0
443.53522	0
443.79404	0
444.05283	0
444.31165	0
444.57043	0
444.82922	0
445.08801	0
445.34683	0
445.60562	0
445.86441	0
446.12317	0
446.38196	0
446.64075	0
446.89954	0
447.15829	0
447.41708	0
447.67584	65535
447.9346	61591
448.19339	17624
448.45215	23964
448.71091	23466
448.96967	23153
449.22842	22626
449.48718	21968
449.74594	21993
450.00467	21681
450.26343	21418
450.52219	20838
450.78091	20373
451.03967	20256
451.2984	19949
451.55713	19415
451.81589	19290
452.07462	19399
452.33334	18721
452.59207	18716
452.8508	18489
453.1095	18357
453.36823	18047
453.62695	17690
453.88565	17688
454.14438	17407
454.40308	17044
454.6618	17178
454.9205	17132
455.1792	16862
455.4379	16624
455.69659	16408
455.95529	16479
456.21399	16223
456.47269	16249
456.73138	16212
456.99005	16013
457.24875	15813
457.50742	15605
457.76611	15649
458.02478	15360
458.28345	15502
458.54211	15371
458.80078	15571
459.05945	15146
459.31812	14894
459.57678	15162
459.83545	15343
460.09409	15039
460.35275	14934
460.61139	15032
460.87006	14760
461.12869	14933
461.38733	14816
461.64597	14680
461.9046	14402
462.16324	14825
462.42188	14802
462.68051	14738
462.93915	14603
463.19775	15230
463.45639	14651
463.715	14863
463.97363	15071
464.23224	14770
464.49084	15083
464.74945	14838
465.00806	15036
465.26666	15144
465.52527	15175
465.78387	14941
466.04248	15232
466.30106	15362
466.55966	15205
466.81824	15174
467.07684	15127
467.33542	15286
467.59399	15452
467.85257	15573
468.11115	15284
468.36972	15688
468.6283	15464
468.88684	15812
469.14542	15830
469.40399	15887
469.66254	15762
469.92108	15980
470.17966	16286
470.4382	15826
470.69675	16352
470.95529	16401
471.21384	16503
471.47238	16272
471.7309	16589
471.98944	16471
472.24799	16675
472.5065	16732
472.76501	16909
473.02356	17037
473.28207	17154
473.54059	17235
473.7991	17028
474.05762	16848
474.31613	17180
474.57462	17570
474.83313	17217
475.09161	17178
475.35013	17462
475.60861	17595
475.8671	17461
476.12561	17815
476.38409	17463
476.64258	17602
476.90106	17506
477.15952	17663
477.418	17843
