Date and Time:                Wed May 15 15:21:23.698 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	12340
417.9035	12580
418.16251	12997
418.42151	13530
418.68048	13707
418.93948	14251
419.19846	14844
419.45746	15267
419.71643	15744
419.97543	16308
420.23441	16967
420.49341	17930
420.75238	18733
421.01135	19784
421.27032	21025
421.5293	23286
421.78827	28325
422.04724	39674
422.30621	59831
422.56519	61199
422.82416	61318
423.08313	65535
423.34207	65535
423.60104	0
423.85999	0
424.11896	0
424.3779	0
424.63687	0
424.89581	0
425.15475	0
425.41373	0
425.67267	0
425.93161	0
426.19055	0
426.44949	0
426.70844	0
426.96738	0
427.22629	0
427.48523	0
427.74417	0
428.00308	0
428.26202	0
428.52094	0
428.77988	0
429.03879	0
429.2977	0
429.55664	0
429.81555	0
430.07446	0
430.33337	0
430.59229	0
430.8512	0
431.11011	0
431.36899	0
431.6279	0
431.88681	0
432.14569	0
432.4046	0
432.66348	0
432.92239	0
433.18127	0
433.44016	0
433.69907	0
433.95795	0
434.21683	0
434.47571	0
434.73459	0
434.99347	0
435.25232	0
435.5112	0
435.77008	0
436.02896	0
436.28781	0
436.54669	0
436.80554	0
437.06439	0
437.32327	0
437.58212	0
437.84097	0
438.09982	0
438.35867	0
438.61752	0
438.87637	0
439.13522	0
439.39404	0
439.65289	0
439.91174	0
440.17056	0
440.42941	0
440.68823	0
440.94705	0
441.20587	0
441.46472	0
441.72354	0
441.98236	0
442.24118	0
442.5	0
442.75879	0
443.01761	0
443.27643	0
443.53522	0
443.79404	0
444.05283	0
444.31165	0
444.57043	0
444.82922	0
445.08801	0
445.34683	0
445.60562	0
445.86441	0
446.12317	0
446.38196	0
446.64075	0
446.89954	0
447.15829	22228
447.41708	12608
447.67584	16097
447.9346	15803
448.19339	15684
448.45215	15269
448.71091	14875
448.96967	14765
449.22842	14549
449.48718	14472
449.74594	14042
450.00467	13748
450.26343	13685
450.52219	13599
450.78091	13337
451.03967	13395
451.2984	12935
451.55713	12709
451.81589	12696
452.07462	12610
452.33334	12447
452.59207	12030
452.8508	12123
453.1095	11908
453.36823	11807
453.62695	11797
453.88565	11903
454.14438	11724
454.40308	11623
454.6618	11494
454.9205	11307
455.1792	11254
455.4379	11159
455.69659	11024
455.95529	11173
456.21399	10987
456.47269	11027
456.73138	10774
456.99005	10853
457.24875	10601
457.50742	10603
457.76611	10744
458.02478	10459
458.28345	10353
458.54211	10594
458.80078	10740
459.05945	10296
459.31812	10460
459.57678	10329
459.83545	10329
460.09409	10331
460.35275	10467
460.61139	10282
460.87006	10366
461.12869	10377
461.38733	10341
461.64597	10498
461.9046	10354
462.16324	10285
462.42188	10298
462.68051	10446
462.93915	10196
463.19775	10455
463.45639	10379
463.715	10551
463.97363	10619
464.23224	10519
464.49084	10757
464.74945	10629
465.00806	10653
465.26666	10805
465.52527	10707
465.78387	10708
466.04248	10614
466.30106	10816
466.55966	10706
466.81824	10831
467.07684	10744
467.33542	10935
467.59399	10993
467.85257	10966
468.11115	11048
468.36972	11004
468.6283	11169
468.88684	11222
469.14542	11297
469.40399	11277
469.66254	11490
469.92108	11496
470.17966	11757
470.4382	11501
470.69675	11647
470.95529	11974
471.21384	11695
471.47238	11848
471.7309	11847
471.98944	11895
472.24799	12053
472.5065	12103
472.76501	12211
473.02356	12130
473.28207	12307
473.54059	12526
473.7991	12355
474.05762	12396
474.31613	12524
474.57462	12545
474.83313	12527
475.09161	12721
475.35013	12749
475.60861	12649
475.8671	12767
476.12561	12940
476.38409	12796
476.64258	12885
476.90106	12992
477.15952	12873
477.418	13085
