Date and Time:                Wed May 15 14:25:24.279 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	61254
417.9035	61306
418.16251	61268
418.42151	61305
418.68048	61298
418.93948	61315
419.19846	61327
419.45746	61300
419.71643	61346
419.97543	61357
420.23441	61372
420.49341	61379
420.75238	61396
421.01135	61415
421.27032	61654
421.5293	62287
421.78827	65535
422.04724	65535
422.30621	65535
422.56519	65535
422.82416	65535
423.08313	0
423.34207	0
423.60104	0
423.85999	0
424.11896	0
424.3779	0
424.63687	0
424.89581	0
425.15475	0
425.41373	0
425.67267	0
425.93161	0
426.19055	0
426.44949	0
426.70844	0
426.96738	0
427.22629	0
427.48523	0
427.74417	0
428.00308	0
428.26202	0
428.52094	0
428.77988	0
429.03879	0
429.2977	0
429.55664	0
429.81555	0
430.07446	0
430.33337	0
430.59229	0
430.8512	0
431.11011	0
431.36899	0
431.6279	0
431.88681	0
432.14569	0
432.4046	0
432.66348	0
432.92239	0
433.18127	0
433.44016	0
433.69907	0
433.95795	0
434.21683	0
434.47571	0
434.73459	0
434.99347	0
435.25232	0
435.5112	0
435.77008	0
436.02896	0
436.28781	0
436.54669	0
436.80554	0
437.06439	0
437.32327	0
437.58212	0
437.84097	0
438.09982	0
438.35867	0
438.61752	0
438.87637	0
439.13522	0
439.39404	0
439.65289	0
439.91174	0
440.17056	0
440.42941	0
440.68823	0
440.94705	0
441.20587	0
441.46472	0
441.72354	0
441.98236	0
442.24118	0
442.5	0
442.75879	0
443.01761	0
443.27643	0
443.53522	0
443.79404	0
444.05283	0
444.31165	0
444.57043	0
444.82922	0
445.08801	0
445.34683	0
445.60562	0
445.86441	0
446.12317	0
446.38196	0
446.64075	0
446.89954	0
447.15829	0
447.41708	0
447.67584	0
447.9346	0
448.19339	0
448.45215	0
448.71091	0
448.96967	0
449.22842	0
449.48718	0
449.74594	6788
450.00467	26495
450.26343	65535
450.52219	61766
450.78091	61401
451.03967	61301
451.2984	61302
451.55713	61331
451.81589	61284
452.07462	61096
452.33334	61037
452.59207	60580
452.8508	60588
453.1095	60304
453.36823	60085
453.62695	59755
453.88565	59583
454.14438	59338
454.40308	59097
454.6618	58595
454.9205	58323
455.1792	57557
455.4379	57447
455.69659	57055
455.95529	56742
456.21399	56075
456.47269	55644
456.73138	55079
456.99005	54342
457.24875	54010
457.50742	53679
457.76611	52550
458.02478	52375
458.28345	51603
458.54211	51907
458.80078	51166
459.05945	50936
459.31812	50238
459.57678	49817
459.83545	49318
460.09409	48987
460.35275	48607
460.61139	48391
460.87006	48421
461.12869	47611
461.38733	47623
461.64597	47477
461.9046	47555
462.16324	46935
462.42188	46826
462.68051	46727
462.93915	46362
463.19775	46225
463.45639	46458
463.715	45886
463.97363	46014
464.23224	45883
464.49084	45534
464.74945	45018
465.00806	46027
465.26666	45225
465.52527	45051
465.78387	44795
466.04248	44653
466.30106	44703
466.55966	44427
466.81824	44367
467.07684	44317
467.33542	44545
467.59399	44720
467.85257	44073
468.11115	43938
468.36972	44174
468.6283	43997
468.88684	44118
469.14542	44122
469.40399	44439
469.66254	44551
469.92108	44168
470.17966	44371
470.4382	44135
470.69675	44038
470.95529	44395
471.21384	44249
471.47238	44228
471.7309	44274
471.98944	44517
472.24799	44453
472.5065	44424
472.76501	44046
473.02356	44160
473.28207	44213
473.54059	44695
473.7991	44252
474.05762	44857
474.31613	44220
474.57462	44214
474.83313	44201
475.09161	44100
475.35013	44231
475.60861	44120
475.8671	44473
476.12561	44579
476.38409	44384
476.64258	44585
476.90106	44364
477.15952	44714
477.418	44373
477.67648	44510
