Date and Time:                Wed May 15 14:10:12.626 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	29965
417.9035	30885
418.16251	31695
418.42151	32390
418.68048	33621
418.93948	34695
419.19846	36228
419.45746	37545
419.71643	38356
419.97543	40205
420.23441	41728
420.49341	44364
420.75238	45974
421.01135	48409
421.27032	51812
421.5293	56393
421.78827	60320
422.04724	61237
422.30621	61322
422.56519	62177
422.82416	65535
423.08313	65535
423.34207	65535
423.60104	0
423.85999	0
424.11896	0
424.3779	0
424.63687	0
424.89581	0
425.15475	0
425.41373	0
425.67267	0
425.93161	0
426.19055	0
426.44949	0
426.70844	0
426.96738	0
427.22629	0
427.48523	0
427.74417	0
428.00308	0
428.26202	0
428.52094	0
428.77988	0
429.03879	0
429.2977	0
429.55664	0
429.81555	0
430.07446	0
430.33337	0
430.59229	0
430.8512	0
431.11011	0
431.36899	0
431.6279	0
431.88681	0
432.14569	0
432.4046	0
432.66348	0
432.92239	0
433.18127	0
433.44016	0
433.69907	0
433.95795	0
434.21683	0
434.47571	0
434.73459	0
434.99347	0
435.25232	0
435.5112	0
435.77008	0
436.02896	0
436.28781	0
436.54669	0
436.80554	0
437.06439	0
437.32327	0
437.58212	0
437.84097	0
438.09982	0
438.35867	0
438.61752	0
438.87637	0
439.13522	0
439.39404	0
439.65289	0
439.91174	0
440.17056	0
440.42941	0
440.68823	0
440.94705	0
441.20587	0
441.46472	0
441.72354	0
441.98236	0
442.24118	0
442.5	0
442.75879	0
443.01761	0
443.27643	0
443.53522	0
443.79404	0
444.05283	0
444.31165	0
444.57043	0
444.82922	0
445.08801	0
445.34683	0
445.60562	0
445.86441	0
446.12317	0
446.38196	0
446.64075	0
446.89954	0
447.15829	0
447.41708	0
447.67584	0
447.9346	0
448.19339	0
448.45215	22269
448.71091	0
448.96967	32192
449.22842	33935
449.48718	33339
449.74594	32366
450.00467	32021
450.26343	31582
450.52219	30794
450.78091	30590
451.03967	29768
451.2984	29634
451.55713	29049
451.81589	28526
452.07462	28328
452.33334	27810
452.59207	27778
452.8508	27249
453.1095	26831
453.36823	26602
453.62695	26449
453.88565	26003
454.14438	25440
454.40308	25461
454.6618	25178
454.9205	25020
455.1792	24536
455.4379	24489
455.69659	24288
455.95529	24036
456.21399	24195
456.47269	23860
456.73138	23571
456.99005	23418
457.24875	23150
457.50742	23066
457.76611	22688
458.02478	22329
458.28345	22582
458.54211	22286
458.80078	22355
459.05945	22408
459.31812	22120
459.57678	22204
459.83545	22150
460.09409	21840
460.35275	21744
460.61139	21894
460.87006	21794
461.12869	22029
461.38733	21602
461.64597	22027
461.9046	21926
462.16324	21730
462.42188	21784
462.68051	21434
462.93915	22165
463.19775	21933
463.45639	22003
463.715	22319
463.97363	22366
464.23224	22137
464.49084	22268
464.74945	22620
465.00806	22647
465.26666	22408
465.52527	22410
465.78387	22691
466.04248	22510
466.30106	22776
466.55966	22845
466.81824	22853
467.07684	22821
467.33542	23228
467.59399	23027
467.85257	23257
468.11115	23215
468.36972	23283
468.6283	23547
468.88684	23856
469.14542	23592
469.40399	23816
469.66254	23914
469.92108	23968
470.17966	24439
470.4382	24559
470.69675	24598
470.95529	24718
471.21384	24729
471.47238	24843
471.7309	24876
471.98944	25178
472.24799	25252
472.5065	25459
472.76501	25616
473.02356	25492
473.28207	25905
473.54059	25507
473.7991	25985
474.05762	26314
474.31613	26691
474.57462	26484
474.83313	27000
475.09161	26899
475.35013	27557
475.60861	27610
475.8671	27893
476.12561	28173
476.38409	28438
476.64258	28512
476.90106	29046
477.15952	28951
477.418	28843
