Date and Time:                Wed May 15 15:03:02.787 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	58776
417.9035	59455
418.16251	59920
418.42151	60182
418.68048	60660
418.93948	61166
419.19846	61247
419.45746	61215
419.71643	61262
419.97543	61267
420.23441	61283
420.49341	61293
420.75238	61312
421.01135	61320
421.27032	61318
421.5293	61397
421.78827	61344
422.04724	61935
422.30621	65535
422.56519	65535
422.82416	6010
423.08313	0
423.34207	0
423.60104	0
423.85999	0
424.11896	0
424.3779	0
424.63687	0
424.89581	0
425.15475	0
425.41373	0
425.67267	0
425.93161	0
426.19055	0
426.44949	0
426.70844	0
426.96738	0
427.22629	0
427.48523	0
427.74417	0
428.00308	0
428.26202	0
428.52094	0
428.77988	0
429.03879	0
429.2977	0
429.55664	0
429.81555	0
430.07446	0
430.33337	0
430.59229	0
430.8512	0
431.11011	0
431.36899	0
431.6279	0
431.88681	0
432.14569	0
432.4046	0
432.66348	0
432.92239	0
433.18127	0
433.44016	0
433.69907	0
433.95795	0
434.21683	0
434.47571	0
434.73459	0
434.99347	0
435.25232	0
435.5112	0
435.77008	0
436.02896	0
436.28781	0
436.54669	0
436.80554	0
437.06439	0
437.32327	0
437.58212	0
437.84097	0
438.09982	0
438.35867	0
438.61752	0
438.87637	0
439.13522	0
439.39404	0
439.65289	0
439.91174	0
440.17056	0
440.42941	0
440.68823	0
440.94705	0
441.20587	0
441.46472	0
441.72354	0
441.98236	0
442.24118	0
442.5	0
442.75879	0
443.01761	0
443.27643	0
443.53522	0
443.79404	0
444.05283	0
444.31165	0
444.57043	0
444.82922	0
445.08801	0
445.34683	0
445.60562	0
445.86441	0
446.12317	0
446.38196	0
446.64075	0
446.89954	0
447.15829	0
447.41708	0
447.67584	0
447.9346	0
448.19339	0
448.45215	0
448.71091	0
448.96967	0
449.22842	0
449.48718	59261
449.74594	60575
450.00467	60464
450.26343	59792
450.52219	59588
450.78091	59281
451.03967	58702
451.2984	58302
451.55713	57800
451.81589	57566
452.07462	56937
452.33334	56748
452.59207	55514
452.8508	54999
453.1095	54431
453.36823	53827
453.62695	53503
453.88565	52308
454.14438	51325
454.40308	50880
454.6618	49995
454.9205	50328
455.1792	49723
455.4379	49722
455.69659	48862
455.95529	48329
456.21399	47282
456.47269	47185
456.73138	46524
456.99005	46670
457.24875	45815
457.50742	45762
457.76611	44800
458.02478	44816
458.28345	44351
458.54211	44404
458.80078	44321
459.05945	43831
459.31812	43617
459.57678	43120
459.83545	43305
460.09409	42918
460.35275	43092
460.61139	42543
460.87006	42249
461.12869	42314
461.38733	42506
461.64597	41968
461.9046	42257
462.16324	42067
462.42188	41686
462.68051	42131
462.93915	41624
463.19775	41863
463.45639	41881
463.715	42265
463.97363	41904
464.23224	41877
464.49084	42152
464.74945	41636
465.00806	41680
465.26666	41683
465.52527	41559
465.78387	41956
466.04248	41859
466.30106	41408
466.55966	41579
466.81824	42003
467.07684	41716
467.33542	41324
467.59399	42072
467.85257	42298
468.11115	41802
468.36972	42246
468.6283	42392
468.88684	42580
469.14542	42747
469.40399	42669
469.66254	43368
469.92108	43418
470.17966	43196
470.4382	43179
470.69675	43465
470.95529	43742
471.21384	43306
471.47238	44086
471.7309	43811
471.98944	43987
472.24799	44304
472.5065	44481
472.76501	44757
473.02356	44885
473.28207	44704
473.54059	44920
473.7991	45115
474.05762	44845
474.31613	45520
474.57462	45960
474.83313	45318
475.09161	45609
475.35013	45574
475.60861	45823
475.8671	46010
476.12561	46100
476.38409	45969
476.64258	46195
476.90106	46032
477.15952	45908
477.418	46749
477.67648	46694
