Date and Time:                Wed May 15 15:38:57.138 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	61069
417.9035	61220
418.16251	61263
418.42151	61233
418.68048	61280
418.93948	61272
419.19846	61271
419.45746	61306
419.71643	61293
419.97543	61309
420.23441	61321
420.49341	61332
420.75238	61343
421.01135	61332
421.27032	61375
421.5293	61378
421.78827	61427
422.04724	65535
422.30621	65535
422.56519	65535
422.82416	65535
423.08313	65535
423.34207	0
423.60104	0
423.85999	0
424.11896	0
424.3779	0
424.63687	0
424.89581	0
425.15475	0
425.41373	0
425.67267	0
425.93161	0
426.19055	0
426.44949	0
426.70844	0
426.96738	0
427.22629	0
427.48523	0
427.74417	0
428.00308	0
428.26202	0
428.52094	0
428.77988	0
429.03879	0
429.2977	0
429.55664	0
429.81555	0
430.07446	0
430.33337	0
430.59229	0
430.8512	0
431.11011	0
431.36899	0
431.6279	0
431.88681	0
432.14569	0
432.4046	0
432.66348	0
432.92239	0
433.18127	0
433.44016	0
433.69907	0
433.95795	0
434.21683	0
434.47571	0
434.73459	0
434.99347	0
435.25232	0
435.5112	0
435.77008	0
436.02896	0
436.28781	0
436.54669	0
436.80554	0
437.06439	0
437.32327	0
437.58212	0
437.84097	0
438.09982	0
438.35867	0
438.61752	0
438.87637	0
439.13522	0
439.39404	0
439.65289	0
439.91174	0
440.17056	0
440.42941	0
440.68823	0
440.94705	0
441.20587	0
441.46472	0
441.72354	0
441.98236	0
442.24118	0
442.5	0
442.75879	0
443.01761	0
443.27643	0
443.53522	0
443.79404	0
444.05283	0
444.31165	0
444.57043	0
444.82922	0
445.08801	0
445.34683	0
445.60562	0
445.86441	0
446.12317	0
446.38196	0
446.64075	0
446.89954	0
447.15829	0
447.41708	0
447.67584	0
447.9346	0
448.19339	0
448.45215	0
448.71091	0
448.96967	0
449.22842	0
449.48718	0
449.74594	12049
450.00467	22405
450.26343	65535
450.52219	61687
450.78091	61335
451.03967	61298
451.2984	61266
451.55713	60783
451.81589	60666
452.07462	60413
452.33334	60256
452.59207	59847
452.8508	59672
453.1095	59393
453.36823	59156
453.62695	58691
453.88565	58015
454.14438	57607
454.40308	57620
454.6618	56798
454.9205	56192
455.1792	55606
455.4379	55183
455.69659	54319
455.95529	54107
456.21399	53310
456.47269	52338
456.73138	52146
456.99005	51492
457.24875	51232
457.50742	49960
457.76611	49448
458.02478	48930
458.28345	48175
458.54211	47827
458.80078	47653
459.05945	46846
459.31812	47222
459.57678	46870
459.83545	46706
460.09409	45994
460.35275	45152
460.61139	45012
460.87006	44956
461.12869	44695
461.38733	44234
461.64597	44096
461.9046	44102
462.16324	43876
462.42188	43526
462.68051	43335
462.93915	42714
463.19775	43252
463.45639	43445
463.715	43182
463.97363	42244
464.23224	42389
464.49084	42472
464.74945	42456
465.00806	42188
465.26666	41813
465.52527	41633
465.78387	41798
466.04248	41806
466.30106	41634
466.55966	41495
466.81824	41283
467.07684	41105
467.33542	41580
467.59399	41383
467.85257	41375
468.11115	41203
468.36972	40837
468.6283	41272
468.88684	41029
469.14542	41260
469.40399	41236
469.66254	41551
469.92108	40879
470.17966	41111
470.4382	41521
470.69675	41028
470.95529	41198
471.21384	41309
471.47238	41276
471.7309	41131
471.98944	41456
472.24799	41453
472.5065	41682
472.76501	41253
473.02356	41369
473.28207	41403
473.54059	41221
473.7991	41534
474.05762	41269
474.31613	41312
474.57462	41880
474.83313	41405
475.09161	41637
475.35013	41329
475.60861	41911
475.8671	41629
476.12561	41699
476.38409	41406
476.64258	41875
476.90106	42112
477.15952	41661
477.418	41074
477.67648	41768
