Date and Time:                Tue May 21 13:08:52.497 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	352
417.9035	357
418.16251	371
418.42151	364
418.68048	323
418.93948	355
419.19846	352
419.45746	348
419.71643	373
419.97543	362
420.23441	359
420.49341	368
420.75238	359
421.01135	351
421.27032	355
421.5293	360
421.78827	367
422.04724	353
422.30621	335
422.56519	366
422.82416	342
423.08313	388
423.34207	392
423.60104	411
423.85999	422
424.11896	445
424.3779	512
424.63687	559
424.89581	572
425.15475	623
425.41373	569
425.67267	615
425.93161	682
426.19055	653
426.44949	658
426.70844	645
426.96738	705
427.22629	761
427.48523	700
427.74417	707
428.00308	734
428.26202	677
428.52094	710
428.77988	741
429.03879	685
429.2977	733
429.55664	725
429.81555	732
430.07446	771
430.33337	807
430.59229	762
430.8512	829
431.11011	775
431.36899	839
431.6279	799
431.88681	791
432.14569	831
432.4046	857
432.66348	864
432.92239	874
433.18127	776
433.44016	863
433.69907	964
433.95795	900
434.21683	938
434.47571	1114
434.73459	1240
434.99347	1494
435.25232	1784
435.5112	2200
435.77008	2534
436.02896	2947
436.28781	3341
436.54669	3772
436.80554	4065
437.06439	4526
437.32327	4980
437.58212	5526
437.84097	5948
438.09982	6305
438.35867	6752
438.61752	7153
438.87637	7465
439.13522	7621
439.39404	8226
439.65289	8512
439.91174	8802
440.17056	8996
440.42941	9344
440.68823	9833
440.94705	10044
441.20587	10593
441.46472	10779
441.72354	11112
441.98236	11670
442.24118	11934
442.5	12149
442.75879	12645
443.01761	12826
443.27643	13333
443.53522	13741
443.79404	14134
444.05283	14402
444.31165	14741
444.57043	15111
444.82922	15372
445.08801	15621
445.34683	15684
445.60562	16108
445.86441	16262
446.12317	16662
446.38196	16761
446.64075	17288
446.89954	17209
447.15829	17794
447.41708	17725
447.67584	18198
447.9346	18258
448.19339	18458
448.45215	19092
448.71091	19087
448.96967	19255
449.22842	19389
449.48718	19757
449.74594	19564
450.00467	19692
450.26343	19444
450.52219	19594
450.78091	19360
451.03967	18934
451.2984	18865
451.55713	18512
451.81589	18612
452.07462	18134
452.33334	18298
452.59207	17893
452.8508	17868
453.1095	17351
453.36823	17441
453.62695	17202
453.88565	17072
454.14438	16848
454.40308	16567
454.6618	16166
454.9205	16224
455.1792	16330
455.4379	16428
455.69659	15954
455.95529	16097
456.21399	15738
456.47269	15540
456.73138	15759
456.99005	15585
457.24875	15602
457.50742	15770
457.76611	15455
458.02478	15511
458.28345	15647
458.54211	15472
458.80078	15538
459.05945	15599
459.31812	15636
459.57678	15603
459.83545	15179
460.09409	15820
460.35275	15689
460.61139	15667
460.87006	15565
461.12869	15694
461.38733	15778
461.64597	15911
461.9046	15895
462.16324	16133
462.42188	16207
462.68051	16386
462.93915	16276
463.19775	16298
463.45639	16538
463.715	16511
463.97363	16652
464.23224	16925
464.49084	16824
464.74945	17080
465.00806	17103
465.26666	17514
465.52527	17236
465.78387	17261
466.04248	17694
466.30106	17630
466.55966	17834
466.81824	17997
467.07684	18301
467.33542	18294
467.59399	18520
467.85257	18513
468.11115	18750
468.36972	19099
468.6283	19109
468.88684	19523
469.14542	19500
469.40399	19451
469.66254	19916
469.92108	20080
470.17966	20170
470.4382	20157
470.69675	20421
470.95529	20877
471.21384	20739
471.47238	21402
471.7309	21167
471.98944	21493
472.24799	21660
472.5065	21580
472.76501	21746
473.02356	22132
473.28207	22140
473.54059	22382
473.7991	22486
474.05762	22565
474.31613	22725
474.57462	23066
474.83313	23011
475.09161	23287
475.35013	23527
475.60861	23677
475.8671	23931
476.12561	23712
476.38409	23655
