Date and Time:                Tue May 21 12:29:11.214 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	405
417.9035	358
418.16251	321
418.42151	343
418.68048	363
418.93948	380
419.19846	383
419.45746	361
419.71643	363
419.97543	376
420.23441	385
420.49341	347
420.75238	362
421.01135	369
421.27032	373
421.5293	374
421.78827	327
422.04724	355
422.30621	395
422.56519	367
422.82416	387
423.08313	368
423.34207	375
423.60104	406
423.85999	421
424.11896	449
424.3779	487
424.63687	504
424.89581	504
425.15475	547
425.41373	573
425.67267	567
425.93161	588
426.19055	569
426.44949	603
426.70844	588
426.96738	592
427.22629	624
427.48523	622
427.74417	618
428.00308	628
428.26202	622
428.52094	609
428.77988	632
429.03879	643
429.2977	651
429.55664	631
429.81555	646
430.07446	646
430.33337	669
430.59229	673
430.8512	704
431.11011	659
431.36899	671
431.6279	722
431.88681	691
432.14569	741
432.4046	698
432.66348	727
432.92239	711
433.18127	755
433.44016	732
433.69907	782
433.95795	784
434.21683	854
434.47571	902
434.73459	968
434.99347	1194
435.25232	1330
435.5112	1559
435.77008	1725
436.02896	1884
436.28781	2019
436.54669	2352
436.80554	2574
437.06439	2786
437.32327	3022
437.58212	3242
437.84097	3398
438.09982	3684
438.35867	3901
438.61752	4199
438.87637	4361
439.13522	4675
439.39404	4868
439.65289	5036
439.91174	5091
440.17056	5463
440.42941	5691
440.68823	5871
440.94705	6009
441.20587	6280
441.46472	6733
441.72354	6864
441.98236	7025
442.24118	7314
442.5	7531
442.75879	7611
443.01761	7901
443.27643	8286
443.53522	8582
443.79404	8615
444.05283	8870
444.31165	9326
444.57043	9313
444.82922	9569
445.08801	9915
445.34683	10239
445.60562	10313
445.86441	10462
446.12317	10643
446.38196	10967
446.64075	11143
446.89954	11444
447.15829	11624
447.41708	11766
447.67584	12178
447.9346	12090
448.19339	12375
448.45215	12778
448.71091	12739
448.96967	12960
449.22842	13105
449.48718	13350
449.74594	13336
450.00467	13403
450.26343	13557
450.52219	13696
450.78091	13441
451.03967	13509
451.2984	13456
451.55713	13364
451.81589	13639
452.07462	13296
452.33334	13142
452.59207	13249
452.8508	13344
453.1095	13465
453.36823	13151
453.62695	13218
453.88565	13156
454.14438	13218
454.40308	13162
454.6618	13108
454.9205	13177
455.1792	13236
455.4379	13279
455.69659	13555
455.95529	13251
456.21399	13279
456.47269	13575
456.73138	13523
456.99005	13484
457.24875	13648
457.50742	13770
457.76611	13712
458.02478	13691
458.28345	13898
458.54211	13570
458.80078	13920
459.05945	14198
459.31812	14088
459.57678	14243
459.83545	14471
460.09409	14487
460.35275	14735
460.61139	14807
460.87006	14770
461.12869	14923
461.38733	14991
461.64597	15174
461.9046	15451
462.16324	15590
462.42188	15640
462.68051	16037
462.93915	16003
463.19775	16213
463.45639	16715
463.715	16876
463.97363	16892
464.23224	17057
464.49084	17403
464.74945	17586
465.00806	17667
465.26666	17939
465.52527	17854
465.78387	18523
466.04248	18571
466.30106	18792
466.55966	19018
466.81824	19206
467.07684	19591
467.33542	19761
467.59399	19761
467.85257	20235
468.11115	20223
468.36972	20710
468.6283	20937
468.88684	21452
469.14542	21509
469.40399	21737
469.66254	22199
469.92108	21991
470.17966	22349
470.4382	22563
470.69675	22809
470.95529	23372
471.21384	23521
471.47238	23422
471.7309	23657
471.98944	23991
472.24799	24651
472.5065	24836
472.76501	25042
473.02356	25154
473.28207	25670
473.54059	25680
473.7991	26354
474.05762	26225
474.31613	26491
474.57462	26867
474.83313	27170
475.09161	27417
475.35013	27800
475.60861	28427
475.8671	28365
476.12561	28962
476.38409	29451
476.64258	29926
