Date and Time:                Tue May 21 13:13:41.119 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	336
417.9035	334
418.16251	334
418.42151	327
418.68048	333
418.93948	346
419.19846	321
419.45746	335
419.71643	339
419.97543	324
420.23441	325
420.49341	341
420.75238	344
421.01135	318
421.27032	350
421.5293	332
421.78827	348
422.04724	319
422.30621	342
422.56519	334
422.82416	337
423.08313	332
423.34207	346
423.60104	355
423.85999	367
424.11896	378
424.3779	431
424.63687	409
424.89581	444
425.15475	452
425.41373	484
425.67267	481
425.93161	453
426.19055	502
426.44949	492
426.70844	489
426.96738	500
427.22629	520
427.48523	498
427.74417	533
428.00308	537
428.26202	534
428.52094	508
428.77988	528
429.03879	563
429.2977	514
429.55664	514
429.81555	521
430.07446	558
430.33337	557
430.59229	560
430.8512	555
431.11011	532
431.36899	621
431.6279	608
431.88681	547
432.14569	568
432.4046	633
432.66348	574
432.92239	632
433.18127	580
433.44016	580
433.69907	601
433.95795	618
434.21683	659
434.47571	691
434.73459	740
434.99347	849
435.25232	1000
435.5112	1160
435.77008	1257
436.02896	1465
436.28781	1622
436.54669	1732
436.80554	1985
437.06439	2253
437.32327	2459
437.58212	2600
437.84097	2782
438.09982	3001
438.35867	3152
438.61752	3474
438.87637	3593
439.13522	3695
439.39404	3871
439.65289	3999
439.91174	4265
440.17056	4338
440.42941	4555
440.68823	4571
440.94705	4719
441.20587	4960
441.46472	4981
441.72354	5165
441.98236	5369
442.24118	5642
442.5	5675
442.75879	6071
443.01761	6014
443.27643	6091
443.53522	6300
443.79404	6628
444.05283	6788
444.31165	6873
444.57043	6940
444.82922	7033
445.08801	7058
445.34683	7383
445.60562	7452
445.86441	7492
446.12317	7702
446.38196	7859
446.64075	7758
446.89954	7845
447.15829	8093
447.41708	8304
447.67584	8329
447.9346	8238
448.19339	8405
448.45215	8429
448.71091	8808
448.96967	8662
449.22842	8774
449.48718	8979
449.74594	8781
450.00467	8814
450.26343	8845
450.52219	8835
450.78091	8602
451.03967	8753
451.2984	8609
451.55713	8544
451.81589	8545
452.07462	8326
452.33334	8329
452.59207	8324
452.8508	8329
453.1095	8257
453.36823	8253
453.62695	8170
453.88565	8127
454.14438	7999
454.40308	8092
454.6618	8008
454.9205	8139
455.1792	7982
455.4379	8029
455.69659	7906
455.95529	8034
456.21399	7948
456.47269	7985
456.73138	7936
456.99005	7915
457.24875	7778
457.50742	8199
457.76611	7993
458.02478	7950
458.28345	7939
458.54211	8286
458.80078	7793
459.05945	7945
459.31812	8028
459.57678	8029
459.83545	8217
460.09409	8072
460.35275	8200
460.61139	8308
460.87006	8283
461.12869	8216
461.38733	8320
461.64597	8553
461.9046	8630
462.16324	8579
462.42188	8517
462.68051	8693
462.93915	8711
463.19775	8841
463.45639	8658
463.715	9111
463.97363	8941
464.23224	9085
464.49084	9151
464.74945	9138
465.00806	9076
465.26666	9314
465.52527	9354
465.78387	9582
466.04248	9518
466.30106	9708
466.55966	9842
466.81824	10002
467.07684	9847
467.33542	10091
467.59399	10254
467.85257	10134
468.11115	10426
468.36972	10632
468.6283	10622
468.88684	10624
469.14542	10606
469.40399	11027
469.66254	10983
469.92108	11322
470.17966	11147
470.4382	11408
470.69675	11217
470.95529	11571
471.21384	11593
471.47238	11857
471.7309	12066
471.98944	11973
472.24799	12022
472.5065	12352
472.76501	12362
473.02356	12398
473.28207	12518
473.54059	12409
473.7991	12436
474.05762	12613
474.31613	12866
474.57462	13015
474.83313	12808
475.09161	13103
475.35013	12999
475.60861	13337
475.8671	13285
476.12561	13362
476.38409	13539
476.64258	13604
