Date and Time:                Tue May 21 14:02:25.054 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	341
417.9035	316
418.16251	349
418.42151	328
418.68048	333
418.93948	305
419.19846	323
419.45746	334
419.71643	298
419.97543	330
420.23441	321
420.49341	331
420.75238	319
421.01135	311
421.27032	339
421.5293	320
421.78827	339
422.04724	336
422.30621	338
422.56519	315
422.82416	337
423.08313	336
423.34207	365
423.60104	353
423.85999	345
424.11896	394
424.3779	367
424.63687	433
424.89581	456
425.15475	473
425.41373	511
425.67267	533
425.93161	497
426.19055	508
426.44949	516
426.70844	545
426.96738	521
427.22629	513
427.48523	522
427.74417	545
428.00308	545
428.26202	540
428.52094	560
428.77988	547
429.03879	564
429.2977	568
429.55664	580
429.81555	583
430.07446	602
430.33337	582
430.59229	593
430.8512	586
431.11011	572
431.36899	567
431.6279	642
431.88681	608
432.14569	636
432.4046	646
432.66348	679
432.92239	624
433.18127	664
433.44016	633
433.69907	684
433.95795	716
434.21683	734
434.47571	795
434.73459	859
434.99347	984
435.25232	1127
435.5112	1296
435.77008	1556
436.02896	1713
436.28781	1984
436.54669	2176
436.80554	2456
437.06439	2556
437.32327	2834
437.58212	3057
437.84097	3236
438.09982	3497
438.35867	3708
438.61752	4061
438.87637	4188
439.13522	4412
439.39404	4573
439.65289	4748
439.91174	4896
440.17056	4962
440.42941	5236
440.68823	5434
440.94705	5583
441.20587	5683
441.46472	6029
441.72354	6267
441.98236	6504
442.24118	6595
442.5	6907
442.75879	6961
443.01761	7101
443.27643	7473
443.53522	7508
443.79404	7652
444.05283	7907
444.31165	8052
444.57043	8294
444.82922	8258
445.08801	8483
445.34683	8726
445.60562	8779
445.86441	8819
446.12317	8905
446.38196	9246
446.64075	9196
446.89954	9369
447.15829	9470
447.41708	9497
447.67584	9873
447.9346	9814
448.19339	9941
448.45215	10128
448.71091	10215
448.96967	10125
449.22842	10344
449.48718	10321
449.74594	10415
450.00467	10477
450.26343	10369
450.52219	10186
450.78091	10017
451.03967	10109
451.2984	9815
451.55713	9682
451.81589	9815
452.07462	9631
452.33334	9402
452.59207	9429
452.8508	9190
453.1095	9279
453.36823	9164
453.62695	8952
453.88565	8997
454.14438	8854
454.40308	8733
454.6618	8821
454.9205	8698
455.1792	8479
455.4379	8540
455.69659	8354
455.95529	8381
456.21399	8431
456.47269	8090
456.73138	8162
456.99005	8218
457.24875	8160
457.50742	8020
457.76611	8012
458.02478	8135
458.28345	8220
458.54211	7908
458.80078	7994
459.05945	7997
459.31812	7921
459.57678	8082
459.83545	7971
460.09409	8013
460.35275	7996
460.61139	8015
460.87006	8025
461.12869	8211
461.38733	8001
461.64597	7865
461.9046	8047
462.16324	8093
462.42188	7992
462.68051	8107
462.93915	8056
463.19775	8103
463.45639	8099
463.715	8161
463.97363	8304
464.23224	8115
464.49084	8251
464.74945	8426
465.00806	8427
465.26666	8581
465.52527	8497
465.78387	8594
466.04248	8684
466.30106	8620
466.55966	8726
466.81824	8667
467.07684	8984
467.33542	9124
467.59399	8979
467.85257	9317
468.11115	9065
468.36972	9244
468.6283	9393
468.88684	9478
469.14542	9486
469.40399	9587
469.66254	9728
469.92108	9681
470.17966	9675
470.4382	9737
470.69675	10001
470.95529	10057
471.21384	10186
471.47238	10371
471.7309	10226
471.98944	10311
472.24799	10505
472.5065	10304
472.76501	10535
473.02356	10610
473.28207	10631
473.54059	10618
473.7991	10865
474.05762	11024
474.31613	11074
474.57462	11110
474.83313	11236
475.09161	11034
475.35013	11286
475.60861	11367
475.8671	11206
476.12561	11458
476.38409	11335
476.64258	11703
