Date and Time:                Mon May 13 09:08:50.421 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	327
417.9035	323
418.16251	323
418.42151	292
418.68048	319
418.93948	310
419.19846	325
419.45746	313
419.71643	324
419.97543	297
420.23441	319
420.49341	301
420.75238	301
421.01135	317
421.27032	311
421.5293	312
421.78827	325
422.04724	323
422.30621	326
422.56519	304
422.82416	314
423.08313	318
423.34207	322
423.60104	344
423.85999	332
424.11896	349
424.3779	430
424.63687	467
424.89581	511
425.15475	584
425.41373	624
425.67267	586
425.93161	617
426.19055	607
426.44949	655
426.70844	631
426.96738	627
427.22629	669
427.48523	670
427.74417	652
428.00308	647
428.26202	663
428.52094	655
428.77988	625
429.03879	657
429.2977	662
429.55664	659
429.81555	643
430.07446	653
430.33337	686
430.59229	679
430.8512	633
431.11011	668
431.36899	672
431.6279	666
431.88681	640
432.14569	643
432.4046	687
432.66348	649
432.92239	638
433.18127	628
433.44016	675
433.69907	645
433.95795	634
434.21683	658
434.47571	659
434.73459	632
434.99347	657
435.25232	651
435.5112	590
435.77008	585
436.02896	635
436.28781	625
436.54669	647
436.80554	591
437.06439	604
437.32327	588
437.58212	623
437.84097	589
438.09982	555
438.35867	580
438.61752	578
438.87637	542
439.13522	506
439.39404	525
439.65289	478
439.91174	403
440.17056	384
440.42941	363
440.68823	302
440.94705	349
441.20587	320
441.46472	312
441.72354	318
441.98236	306
442.24118	333
442.5	323
442.75879	325
443.01761	310
443.27643	314
443.53522	301
443.79404	304
444.05283	300
444.31165	318
444.57043	330
444.82922	306
445.08801	317
445.34683	301
445.60562	296
445.86441	299
446.12317	315
446.38196	322
446.64075	315
446.89954	311
447.15829	288
447.41708	298
447.67584	315
447.9346	305
448.19339	319
448.45215	299
448.71091	308
448.96967	312
449.22842	313
449.48718	308
449.74594	340
450.00467	301
450.26343	323
450.52219	304
450.78091	326
451.03967	298
451.2984	319
451.55713	338
451.81589	324
452.07462	334
452.33334	322
452.59207	291
452.8508	306
453.1095	297
453.36823	306
453.62695	336
453.88565	323
454.14438	316
454.40308	303
454.6618	316
454.9205	294
455.1792	310
455.4379	307
455.69659	315
455.95529	319
456.21399	293
456.47269	291
456.73138	309
456.99005	297
457.24875	314
457.50742	287
457.76611	327
458.02478	330
458.28345	309
458.54211	321
458.80078	309
459.05945	286
459.31812	327
459.57678	322
459.83545	303
460.09409	294
460.35275	320
460.61139	312
460.87006	310
461.12869	303
461.38733	310
461.64597	307
461.9046	303
462.16324	312
462.42188	318
462.68051	321
462.93915	333
463.19775	310
463.45639	312
463.715	318
463.97363	322
464.23224	310
464.49084	300
464.74945	331
465.00806	305
465.26666	322
465.52527	312
465.78387	316
466.04248	317
466.30106	310
466.55966	344
466.81824	299
467.07684	326
467.33542	303
467.59399	307
467.85257	312
468.11115	312
468.36972	323
468.6283	303
468.88684	314
469.14542	334
469.40399	331
469.66254	325
469.92108	330
470.17966	299
470.4382	316
470.69675	307
470.95529	329
471.21384	322
471.47238	332
471.7309	313
471.98944	305
472.24799	313
472.5065	317
472.76501	303
473.02356	317
473.28207	314
473.54059	317
473.7991	326
474.05762	340
474.31613	325
474.57462	329
474.83313	315
475.09161	330
475.35013	321
475.60861	309
475.8671	322
476.12561	322
476.38409	304
476.64258	317
476.90106	320
477.15952	303
477.418	315
477.67648	329
477.93494	343
478.19339	332
478.45187	336
478.71033	321
478.96878	312
479.22723	325
479.48569	322
479.74414	335
480.00259	319
480.26102	298
480.51947	337
480.77789	326
481.03635	293
481.29477	331
481.55319	328
481.81161	329
482.07004	335
482.32846	322
482.58688	328
