Date and Time:                Mon May 13 09:10:49.592 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	307
417.9035	313
418.16251	300
418.42151	291
418.68048	313
418.93948	317
419.19846	319
419.45746	331
419.71643	304
419.97543	299
420.23441	309
420.49341	316
420.75238	304
421.01135	304
421.27032	296
421.5293	295
421.78827	319
422.04724	318
422.30621	308
422.56519	326
422.82416	322
423.08313	328
423.34207	329
423.60104	355
423.85999	336
424.11896	374
424.3779	426
424.63687	444
424.89581	478
425.15475	499
425.41373	496
425.67267	476
425.93161	533
426.19055	492
426.44949	523
426.70844	468
426.96738	522
427.22629	505
427.48523	565
427.74417	548
428.00308	550
428.26202	562
428.52094	550
428.77988	556
429.03879	562
429.2977	562
429.55664	548
429.81555	595
430.07446	532
430.33337	587
430.59229	591
430.8512	605
431.11011	610
431.36899	613
431.6279	614
431.88681	627
432.14569	576
432.4046	657
432.66348	594
432.92239	648
433.18127	643
433.44016	633
433.69907	702
433.95795	690
434.21683	639
434.47571	653
434.73459	707
434.99347	648
435.25232	691
435.5112	669
435.77008	688
436.02896	729
436.28781	689
436.54669	683
436.80554	751
437.06439	705
437.32327	685
437.58212	749
437.84097	704
438.09982	681
438.35867	740
438.61752	719
438.87637	696
439.13522	698
439.39404	674
439.65289	613
439.91174	526
440.17056	499
440.42941	385
440.68823	345
440.94705	323
441.20587	318
441.46472	313
441.72354	338
441.98236	322
442.24118	316
442.5	334
442.75879	302
443.01761	303
443.27643	312
443.53522	304
443.79404	327
444.05283	302
444.31165	309
444.57043	309
444.82922	311
445.08801	322
445.34683	330
445.60562	310
445.86441	314
446.12317	307
446.38196	312
446.64075	319
446.89954	328
447.15829	307
447.41708	308
447.67584	305
447.9346	309
448.19339	295
448.45215	315
448.71091	312
448.96967	317
449.22842	302
449.48718	332
449.74594	339
450.00467	311
450.26343	329
450.52219	307
450.78091	309
451.03967	311
451.2984	330
451.55713	315
451.81589	312
452.07462	317
452.33334	297
452.59207	321
452.8508	326
453.1095	334
453.36823	309
453.62695	292
453.88565	321
454.14438	304
454.40308	307
454.6618	320
454.9205	316
455.1792	318
455.4379	317
455.69659	307
455.95529	297
456.21399	317
456.47269	322
456.73138	335
456.99005	302
457.24875	306
457.50742	322
457.76611	322
458.02478	313
458.28345	325
458.54211	321
458.80078	320
459.05945	308
459.31812	299
459.57678	328
459.83545	312
460.09409	320
460.35275	320
460.61139	315
460.87006	318
461.12869	331
461.38733	339
461.64597	318
461.9046	315
462.16324	306
462.42188	301
462.68051	306
462.93915	312
463.19775	316
463.45639	306
463.715	311
463.97363	315
464.23224	321
464.49084	316
464.74945	304
465.00806	283
465.26666	347
465.52527	321
465.78387	335
466.04248	316
466.30106	315
466.55966	342
466.81824	315
467.07684	296
467.33542	309
467.59399	314
467.85257	320
468.11115	311
468.36972	320
468.6283	342
468.88684	326
469.14542	309
469.40399	297
469.66254	290
469.92108	315
470.17966	303
470.4382	315
470.69675	326
470.95529	322
471.21384	307
471.47238	318
471.7309	322
471.98944	309
472.24799	323
472.5065	334
472.76501	310
473.02356	325
473.28207	338
473.54059	298
473.7991	335
474.05762	313
474.31613	341
474.57462	327
474.83313	324
475.09161	333
475.35013	339
475.60861	306
475.8671	306
476.12561	328
476.38409	326
476.64258	300
476.90106	317
477.15952	298
477.418	309
477.67648	335
477.93494	277
478.19339	318
478.45187	322
478.71033	318
478.96878	312
479.22723	335
479.48569	328
479.74414	310
480.00259	334
480.26102	322
480.51947	328
480.77789	324
481.03635	322
481.29477	335
481.55319	332
481.81161	328
482.07004	331
482.32846	341
482.58688	317
