Date and Time:                Tue Apr 16 14:03:34.087 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	305
448.24188	295
448.50052	302
448.75912	322
449.01776	313
449.2764	275
449.535	285
449.79364	295
450.05225	288
450.31085	299
450.56949	287
450.82809	313
451.0867	319
451.34531	306
451.60391	289
451.86252	311
452.12112	289
452.37973	304
452.63834	292
452.89691	310
453.15552	298
453.41412	320
453.6727	311
453.9313	310
454.18988	305
454.44846	295
454.70706	293
454.96564	303
455.22421	292
455.48279	316
455.74136	307
455.99994	321
456.25851	306
456.51709	290
456.77567	307
457.03424	314
457.29279	255
457.55136	284
457.80991	305
458.06848	307
458.32703	298
458.5856	299
458.84415	296
459.10269	309
459.36124	314
459.61978	303
459.87833	267
460.13687	304
460.39542	273
460.65396	297
460.91251	282
461.17102	311
461.42957	312
461.68811	296
461.94662	300
462.20514	289
462.46368	294
462.7222	301
462.98071	286
463.23923	290
463.49777	303
463.75629	291
464.01477	292
464.27328	282
464.5318	283
464.79031	287
465.0488	273
465.30731	296
465.56583	301
465.82431	293
466.08279	298
466.34131	297
466.59979	304
466.85828	298
467.11676	301
467.37524	297
467.63373	297
467.89221	301
468.1507	290
468.40918	298
468.66763	301
468.92612	302
469.18457	296
469.44305	296
469.70151	299
469.95999	308
470.21844	294
470.4769	309
470.73535	296
470.9938	313
471.25226	298
471.51071	327
471.76917	304
472.02759	299
472.28604	307
472.54449	289
472.80292	275
473.06137	291
473.31979	291
473.57822	295
473.83664	287
474.09506	316
474.35352	320
474.61191	313
474.87033	285
475.12875	300
475.38718	290
475.6456	299
475.90399	281
476.16241	300
476.42081	298
476.6792	296
476.93762	310
477.19601	304
477.45441	308
477.7128	300
477.97119	295
478.22958	298
478.48798	294
478.74637	298
479.00473	282
479.26312	291
479.52148	294
479.77988	282
480.03824	260
480.2966	294
480.55496	311
480.81335	305
481.07172	290
481.33005	303
481.58841	287
481.84677	298
482.10513	296
482.36346	296
482.62183	284
482.88016	303
483.13852	308
483.39685	308
483.65518	305
483.91351	307
484.17184	302
484.43018	290
484.68851	306
484.94684	279
485.20517	322
485.46347	308
485.7218	281
485.9801	317
486.23843	300
486.49673	283
486.75504	293
487.01334	281
487.27164	300
487.52994	297
487.78824	304
488.04654	307
488.30484	308
488.56311	296
488.82141	307
489.07968	299
489.33798	297
489.59625	309
489.85452	306
490.11279	283
490.37106	310
490.62933	308
490.8876	306
491.14587	279
491.40411	301
491.66238	295
491.92065	320
492.17889	287
492.43713	306
492.69537	268
492.95364	305
493.21188	275
493.47012	296
493.72833	290
493.98657	291
494.24481	293
494.50305	299
494.76126	274
495.0195	293
495.27771	306
495.53592	312
495.79413	289
496.05234	294
496.31055	306
496.56876	302
496.82697	302
497.08517	300
497.34335	304
497.60156	303
497.85974	275
498.11795	301
498.37613	295
498.63431	288
498.89249	310
499.15067	298
499.40884	301
499.66702	309
499.92517	281
500.18335	283
500.44153	295
500.69968	296
500.95782	303
501.216	297
501.47415	310
501.7323	303
501.99045	302
502.24857	291
502.50671	302
502.76486	291
503.02298	314
503.28113	291
503.53925	302
503.79739	292
504.05551	294
504.31363	317
504.57175	318
504.82986	280
505.08798	305
505.34607	277
505.60419	312
505.86227	286
506.12039	289
506.37848	276
506.63657	305
506.89465	296
507.15277	331
507.41083	294
507.66891	296
507.927	293
508.18509	282
508.44315	303
508.70123	300
508.95929	302
509.21735	298
509.4754	292
509.73346	288
509.99152	283
510.24957	298
510.50763	304
510.76569	308
511.02371	316
511.28174	296
511.53979	284
511.79782	295
512.05585	294
512.3139	292
512.5719	308
