Date and Time:                Thu Apr 18 12:06:27.913 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	296
448.24188	304
448.50052	306
448.75912	277
449.01776	286
449.2764	304
449.535	318
449.79364	322
450.05225	321
450.31085	294
450.56949	301
450.82809	303
451.0867	288
451.34531	312
451.60391	304
451.86252	310
452.12112	328
452.37973	300
452.63834	309
452.89691	311
453.15552	317
453.41412	307
453.6727	291
453.9313	299
454.18988	300
454.44846	283
454.70706	291
454.96564	311
455.22421	299
455.48279	303
455.74136	304
455.99994	276
456.25851	309
456.51709	291
456.77567	312
457.03424	286
457.29279	312
457.55136	312
457.80991	311
458.06848	305
458.32703	302
458.5856	298
458.84415	299
459.10269	303
459.36124	294
459.61978	304
459.87833	287
460.13687	297
460.39542	306
460.65396	295
460.91251	303
461.17102	295
461.42957	317
461.68811	290
461.94662	290
462.20514	281
462.46368	289
462.7222	317
462.98071	314
463.23923	318
463.49777	283
463.75629	286
464.01477	294
464.27328	296
464.5318	329
464.79031	312
465.0488	301
465.30731	313
465.56583	311
465.82431	315
466.08279	291
466.34131	317
466.59979	291
466.85828	312
467.11676	302
467.37524	302
467.63373	308
467.89221	299
468.1507	284
468.40918	303
468.66763	293
468.92612	308
469.18457	295
469.44305	307
469.70151	302
469.95999	312
470.21844	289
470.4769	299
470.73535	321
470.9938	316
471.25226	305
471.51071	298
471.76917	308
472.02759	305
472.28604	290
472.54449	287
472.80292	313
473.06137	314
473.31979	287
473.57822	293
473.83664	291
474.09506	291
474.35352	317
474.61191	285
474.87033	292
475.12875	301
475.38718	299
475.6456	302
475.90399	301
476.16241	294
476.42081	309
476.6792	314
476.93762	313
477.19601	295
477.45441	296
477.7128	283
477.97119	290
478.22958	316
478.48798	312
478.74637	300
479.00473	318
479.26312	294
479.52148	320
479.77988	303
480.03824	333
480.2966	281
480.55496	295
480.81335	302
481.07172	277
481.33005	278
481.58841	301
481.84677	287
482.10513	338
482.36346	318
482.62183	331
482.88016	321
483.13852	282
483.39685	291
483.65518	303
483.91351	304
484.17184	284
484.43018	301
484.68851	309
484.94684	307
485.20517	317
485.46347	309
485.7218	290
485.9801	298
486.23843	301
486.49673	319
486.75504	274
487.01334	305
487.27164	303
487.52994	282
487.78824	315
488.04654	288
488.30484	309
488.56311	311
488.82141	294
489.07968	293
489.33798	288
489.59625	291
489.85452	297
490.11279	297
490.37106	280
490.62933	298
490.8876	297
491.14587	311
491.40411	300
491.66238	303
491.92065	308
492.17889	286
492.43713	284
492.69537	294
492.95364	300
493.21188	294
493.47012	294
493.72833	288
493.98657	310
494.24481	296
494.50305	305
494.76126	308
495.0195	320
495.27771	294
495.53592	297
495.79413	312
496.05234	278
496.31055	325
496.56876	297
496.82697	295
497.08517	303
497.34335	294
497.60156	315
497.85974	306
498.11795	306
498.37613	307
498.63431	327
498.89249	300
499.15067	300
499.40884	325
499.66702	294
499.92517	293
500.18335	304
500.44153	299
500.69968	297
500.95782	307
501.216	286
501.47415	307
501.7323	304
501.99045	284
502.24857	278
502.50671	289
502.76486	296
503.02298	273
503.28113	301
503.53925	299
503.79739	309
504.05551	302
504.31363	274
504.57175	305
504.82986	302
505.08798	300
505.34607	301
505.60419	311
505.86227	283
506.12039	291
506.37848	299
506.63657	305
506.89465	314
507.15277	310
507.41083	299
507.66891	288
507.927	307
508.18509	280
508.44315	297
508.70123	288
508.95929	315
509.21735	313
509.4754	304
509.73346	312
509.99152	320
510.24957	281
510.50763	299
510.76569	283
511.02371	289
511.28174	299
511.53979	291
511.79782	306
512.05585	276
512.3139	300
512.5719	294
