Date and Time:                Wed Apr 17 12:18:07.537 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	7720
448.24188	7755
448.50052	7863
448.75912	7813
449.01776	7999
449.2764	8180
449.535	8247
449.79364	8233
450.05225	8318
450.31085	8168
450.56949	8200
450.82809	8031
451.0867	8074
451.34531	7887
451.60391	7682
451.86252	7684
452.12112	7656
452.37973	7465
452.63834	7182
452.89691	7410
453.15552	6965
453.41412	7045
453.6727	6800
453.9313	7010
454.18988	6908
454.44846	6651
454.70706	6615
454.96564	6419
455.22421	6427
455.48279	6439
455.74136	6445
455.99994	6398
456.25851	6344
456.51709	6273
456.77567	6187
457.03424	6256
457.29279	6053
457.55136	6054
457.80991	6036
458.06848	5951
458.32703	6056
458.5856	5968
458.84415	5859
459.10269	5995
459.36124	5969
459.61978	5955
459.87833	5818
460.13687	5889
460.39542	5988
460.65396	5866
460.91251	5925
461.17102	5904
461.42957	5825
461.68811	5895
461.94662	6187
462.20514	5907
462.46368	6032
462.7222	6104
462.98071	6001
463.23923	6058
463.49777	6157
463.75629	6141
464.01477	6127
464.27328	6344
464.5318	6258
464.79031	6274
465.0488	6305
465.30731	6281
465.56583	6394
465.82431	6424
466.08279	6452
466.34131	6514
466.59979	6676
466.85828	6639
467.11676	6681
467.37524	6721
467.63373	6835
467.89221	6821
468.1507	6913
468.40918	6881
468.66763	6965
468.92612	7066
469.18457	7126
469.44305	7094
469.70151	7191
469.95999	7478
470.21844	7331
470.4769	7542
470.73535	7585
470.9938	7637
471.25226	7600
471.51071	7716
471.76917	7764
472.02759	7873
472.28604	7687
472.54449	7832
472.80292	7887
473.06137	8044
473.31979	8104
473.57822	8106
473.83664	8214
474.09506	8134
474.35352	8134
474.61191	8373
474.87033	8255
475.12875	8527
475.38718	8606
475.6456	8377
475.90399	8428
476.16241	8591
476.42081	8658
476.6792	8746
476.93762	8842
477.19601	8664
477.45441	8583
477.7128	9063
477.97119	8842
478.22958	8996
478.48798	9020
478.74637	8789
479.00473	9063
479.26312	9120
479.52148	9065
479.77988	9246
480.03824	9267
480.2966	9044
480.55496	9007
480.81335	9151
481.07172	9237
481.33005	9107
481.58841	9175
481.84677	9367
482.10513	9355
482.36346	9349
482.62183	9133
482.88016	9236
483.13852	9278
483.39685	9292
483.65518	9301
483.91351	9433
484.17184	9165
484.43018	9316
484.68851	9241
484.94684	9563
485.20517	9382
485.46347	9281
485.7218	9407
485.9801	9371
486.23843	9320
486.49673	9318
486.75504	9341
487.01334	9406
487.27164	9210
487.52994	9383
487.78824	9337
488.04654	9394
488.30484	9233
488.56311	9258
488.82141	9417
489.07968	9256
489.33798	9483
489.59625	9332
489.85452	9356
490.11279	9481
490.37106	9552
490.62933	9244
490.8876	9403
491.14587	9412
491.40411	9253
491.66238	9378
491.92065	9415
492.17889	9474
492.43713	9303
492.69537	9398
492.95364	9263
493.21188	9390
493.47012	9314
493.72833	9261
493.98657	9551
494.24481	9504
494.50305	9372
494.76126	9183
495.0195	9313
495.27771	9598
495.53592	9236
495.79413	9335
496.05234	9382
496.31055	9333
496.56876	9511
496.82697	9442
497.08517	9318
497.34335	9395
497.60156	9388
497.85974	9432
498.11795	9217
498.37613	9433
498.63431	9476
498.89249	9290
499.15067	9337
499.40884	9509
499.66702	9378
499.92517	9319
500.18335	9350
500.44153	9367
500.69968	9534
500.95782	9200
501.216	9297
501.47415	9094
501.7323	9179
501.99045	9375
502.24857	9312
502.50671	9300
502.76486	9473
503.02298	9114
503.28113	9446
503.53925	9239
503.79739	9406
504.05551	9436
504.31363	9199
504.57175	9213
