Date and Time:                Tue Apr 16 16:14:20.757 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	9431
448.24188	10063
448.50052	9928
448.75912	10140
449.01776	10295
449.2764	10344
449.535	10494
449.79364	10515
450.05225	10412
450.31085	10578
450.56949	10788
450.82809	10414
451.0867	10422
451.34531	10351
451.60391	10204
451.86252	10067
452.12112	9947
452.37973	9864
452.63834	9857
452.89691	9566
453.15552	9493
453.41412	9577
453.6727	9480
453.9313	9372
454.18988	9245
454.44846	9254
454.70706	9009
454.96564	9045
455.22421	9044
455.48279	8976
455.74136	8949
455.99994	8975
456.25851	9039
456.51709	8745
456.77567	9017
457.03424	9091
457.29279	8956
457.55136	8992
457.80991	9017
458.06848	8801
458.32703	8640
458.5856	8764
458.84415	8564
459.10269	8770
459.36124	8835
459.61978	8830
459.87833	8842
460.13687	8650
460.39542	8747
460.65396	8892
460.91251	8861
461.17102	8866
461.42957	9043
461.68811	9116
461.94662	9025
462.20514	8902
462.46368	8965
462.7222	9120
462.98071	9187
463.23923	9339
463.49777	9286
463.75629	9307
464.01477	9326
464.27328	9546
464.5318	9562
464.79031	9550
465.0488	9650
465.30731	9917
465.56583	9783
465.82431	9924
466.08279	10101
466.34131	10066
466.59979	10383
466.85828	10267
467.11676	10715
467.37524	10608
467.63373	10273
467.89221	10760
468.1507	10687
468.40918	10990
468.66763	11025
468.92612	11009
469.18457	11147
469.44305	11339
469.70151	11374
469.95999	11609
470.21844	11695
470.4769	11911
470.73535	11647
470.9938	11878
471.25226	12045
471.51071	11926
471.76917	12311
472.02759	12579
472.28604	12540
472.54449	12537
472.80292	12757
473.06137	12912
473.31979	12922
473.57822	13088
473.83664	13195
474.09506	13432
474.35352	13427
474.61191	13286
474.87033	13595
475.12875	13776
475.38718	13854
475.6456	13813
475.90399	13835
476.16241	13909
476.42081	13917
476.6792	13972
476.93762	14090
477.19601	14332
477.45441	14297
477.7128	14524
477.97119	14527
478.22958	14361
478.48798	14701
478.74637	14674
479.00473	14669
479.26312	14914
479.52148	14784
479.77988	14983
480.03824	15075
480.2966	14996
480.55496	15304
480.81335	14994
481.07172	14917
481.33005	14880
481.58841	15150
481.84677	15324
482.10513	15395
482.36346	15198
482.62183	15097
482.88016	15057
483.13852	15516
483.39685	15273
483.65518	15237
483.91351	15590
484.17184	15435
484.43018	15619
484.68851	15540
484.94684	15716
485.20517	15500
485.46347	15534
485.7218	15516
485.9801	15802
486.23843	15220
486.49673	15341
486.75504	15659
487.01334	15559
487.27164	15732
487.52994	15888
487.78824	15788
488.04654	15596
488.30484	15857
488.56311	15654
488.82141	15731
489.07968	15598
489.33798	15884
489.59625	15683
489.85452	15987
490.11279	15723
490.37106	15859
490.62933	15995
490.8876	15816
491.14587	15731
491.40411	15628
491.66238	15896
491.92065	15833
492.17889	15633
492.43713	16005
492.69537	15924
492.95364	15882
493.21188	15909
493.47012	15853
493.72833	15932
493.98657	15780
494.24481	15836
494.50305	16020
494.76126	15966
495.0195	15892
495.27771	15819
495.53592	16039
495.79413	15712
496.05234	15800
496.31055	15832
496.56876	15794
496.82697	15931
497.08517	16163
497.34335	16099
497.60156	15783
497.85974	16251
498.11795	15982
498.37613	16219
498.63431	16088
498.89249	15741
499.15067	16023
499.40884	16024
499.66702	16029
499.92517	16491
500.18335	15801
500.44153	16029
500.69968	15848
500.95782	15843
501.216	15949
501.47415	15964
501.7323	16069
501.99045	16255
502.24857	16150
502.50671	16205
502.76486	16196
503.02298	15997
503.28113	16048
503.53925	15934
503.79739	16279
504.05551	15993
504.31363	16057
504.57175	15951
