Date and Time:                Thu Apr 18 12:23:20.980 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	6426
448.24188	6557
448.50052	6548
448.75912	6605
449.01776	6739
449.2764	6774
449.535	7030
449.79364	6863
450.05225	6931
450.31085	6957
450.56949	6987
450.82809	6993
451.0867	6805
451.34531	6666
451.60391	6600
451.86252	6714
452.12112	6503
452.37973	6478
452.63834	6348
452.89691	6191
453.15552	6157
453.41412	6039
453.6727	6050
453.9313	5758
454.18988	5864
454.44846	5813
454.70706	5797
454.96564	5656
455.22421	5513
455.48279	5556
455.74136	5473
455.99994	5462
456.25851	5380
456.51709	5427
456.77567	5315
457.03424	5374
457.29279	5234
457.55136	5288
457.80991	5374
458.06848	5303
458.32703	5217
458.5856	5284
458.84415	5367
459.10269	5199
459.36124	5256
459.61978	5246
459.87833	5202
460.13687	5235
460.39542	5291
460.65396	5334
460.91251	5204
461.17102	5216
461.42957	5372
461.68811	5277
461.94662	5365
462.20514	5359
462.46368	5407
462.7222	5340
462.98071	5479
463.23923	5359
463.49777	5544
463.75629	5480
464.01477	5555
464.27328	5515
464.5318	5770
464.79031	5656
465.0488	5453
465.30731	5738
465.56583	5763
465.82431	5841
466.08279	5741
466.34131	5987
466.59979	5995
466.85828	6034
467.11676	5991
467.37524	6083
467.63373	6147
467.89221	6157
468.1507	6194
468.40918	6217
468.66763	6267
468.92612	6543
469.18457	6469
469.44305	6502
469.70151	6539
469.95999	6394
470.21844	6649
470.4769	6641
470.73535	6814
470.9938	6858
471.25226	6897
471.51071	6861
471.76917	7003
472.02759	7003
472.28604	7227
472.54449	7136
472.80292	7157
473.06137	7147
473.31979	7226
473.57822	7390
473.83664	7315
474.09506	7284
474.35352	7365
474.61191	7666
474.87033	7428
475.12875	7510
475.38718	7679
475.6456	7693
475.90399	7576
476.16241	7805
476.42081	7776
476.6792	7927
476.93762	7935
477.19601	7931
477.45441	7990
477.7128	8019
477.97119	7990
478.22958	8058
478.48798	8162
478.74637	8058
479.00473	8205
479.26312	8290
479.52148	8150
479.77988	8149
480.03824	8344
480.2966	8313
480.55496	8215
480.81335	8248
481.07172	8162
481.33005	8384
481.58841	8510
481.84677	8389
482.10513	8307
482.36346	8452
482.62183	8594
482.88016	8446
483.13852	8503
483.39685	8499
483.65518	8586
483.91351	8365
484.17184	8536
484.43018	8375
484.68851	8554
484.94684	8591
485.20517	8434
485.46347	8648
485.7218	8480
485.9801	8512
486.23843	8592
486.49673	8489
486.75504	8616
487.01334	8847
487.27164	8652
487.52994	8537
487.78824	8497
488.04654	8436
488.30484	8456
488.56311	8506
488.82141	8599
489.07968	8788
489.33798	8597
489.59625	8402
489.85452	8613
490.11279	8536
490.37106	8678
490.62933	8373
490.8876	8532
491.14587	8450
491.40411	8643
491.66238	8655
491.92065	8496
492.17889	8552
492.43713	8563
492.69537	8362
492.95364	8532
493.21188	8634
493.47012	8382
493.72833	8678
493.98657	8575
494.24481	8550
494.50305	8676
494.76126	8481
495.0195	8523
495.27771	8669
495.53592	8558
495.79413	8488
496.05234	8493
496.31055	8382
496.56876	8674
496.82697	8614
497.08517	8772
497.34335	8541
497.60156	8622
497.85974	8652
498.11795	8370
498.37613	8530
498.63431	8625
498.89249	8589
499.15067	8580
499.40884	8552
499.66702	8333
499.92517	8510
500.18335	8676
500.44153	8444
500.69968	8550
500.95782	8601
501.216	8496
501.47415	8589
501.7323	8697
501.99045	8467
502.24857	8552
502.50671	8636
502.76486	8349
503.02298	8344
503.28113	8648
503.53925	8554
503.79739	8455
504.05551	8397
504.31363	8506
504.57175	8510
