Date and Time:                Tue Apr 16 17:23:17.876 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	334
448.24188	319
448.50052	293
448.75912	291
449.01776	286
449.2764	281
449.535	318
449.79364	300
450.05225	298
450.31085	301
450.56949	300
450.82809	300
451.0867	301
451.34531	303
451.60391	302
451.86252	304
452.12112	315
452.37973	298
452.63834	287
452.89691	292
453.15552	299
453.41412	285
453.6727	300
453.9313	314
454.18988	303
454.44846	303
454.70706	321
454.96564	286
455.22421	300
455.48279	280
455.74136	306
455.99994	308
456.25851	301
456.51709	296
456.77567	300
457.03424	299
457.29279	297
457.55136	307
457.80991	287
458.06848	305
458.32703	297
458.5856	296
458.84415	311
459.10269	295
459.36124	308
459.61978	294
459.87833	298
460.13687	302
460.39542	298
460.65396	278
460.91251	298
461.17102	313
461.42957	294
461.68811	302
461.94662	317
462.20514	288
462.46368	294
462.7222	304
462.98071	294
463.23923	306
463.49777	306
463.75629	292
464.01477	287
464.27328	300
464.5318	286
464.79031	304
465.0488	301
465.30731	300
465.56583	302
465.82431	305
466.08279	296
466.34131	297
466.59979	306
466.85828	301
467.11676	288
467.37524	292
467.63373	289
467.89221	300
468.1507	294
468.40918	294
468.66763	297
468.92612	319
469.18457	293
469.44305	267
469.70151	297
469.95999	306
470.21844	303
470.4769	275
470.73535	304
470.9938	306
471.25226	302
471.51071	318
471.76917	304
472.02759	311
472.28604	304
472.54449	284
472.80292	290
473.06137	287
473.31979	322
473.57822	297
473.83664	281
474.09506	320
474.35352	296
474.61191	318
474.87033	294
475.12875	271
475.38718	302
475.6456	324
475.90399	292
476.16241	295
476.42081	293
476.6792	290
476.93762	313
477.19601	314
477.45441	311
477.7128	292
477.97119	317
478.22958	292
478.48798	312
478.74637	290
479.00473	296
479.26312	298
479.52148	304
479.77988	323
480.03824	287
480.2966	318
480.55496	311
480.81335	306
481.07172	304
481.33005	298
481.58841	299
481.84677	303
482.10513	286
482.36346	307
482.62183	286
482.88016	280
483.13852	304
483.39685	295
483.65518	314
483.91351	300
484.17184	311
484.43018	291
484.68851	285
484.94684	298
485.20517	316
485.46347	282
485.7218	299
485.9801	294
486.23843	316
486.49673	297
486.75504	290
487.01334	306
487.27164	300
487.52994	313
487.78824	290
488.04654	302
488.30484	303
488.56311	288
488.82141	295
489.07968	295
489.33798	300
489.59625	298
489.85452	287
490.11279	297
490.37106	299
490.62933	286
490.8876	303
491.14587	294
491.40411	288
491.66238	309
491.92065	306
492.17889	314
492.43713	293
492.69537	312
492.95364	285
493.21188	300
493.47012	310
493.72833	312
493.98657	319
494.24481	295
494.50305	308
494.76126	321
495.0195	293
495.27771	283
495.53592	325
495.79413	287
496.05234	313
496.31055	290
496.56876	316
496.82697	276
497.08517	304
497.34335	281
497.60156	302
497.85974	307
498.11795	279
498.37613	311
498.63431	325
498.89249	305
499.15067	320
499.40884	283
499.66702	291
499.92517	281
500.18335	330
500.44153	303
500.69968	308
500.95782	316
501.216	309
501.47415	288
501.7323	310
501.99045	288
502.24857	288
502.50671	288
502.76486	312
503.02298	309
503.28113	299
503.53925	310
503.79739	297
504.05551	294
504.31363	313
504.57175	287
504.82986	302
505.08798	311
505.34607	291
505.60419	312
505.86227	295
506.12039	283
506.37848	288
506.63657	297
506.89465	304
507.15277	307
507.41083	307
507.66891	310
507.927	302
508.18509	313
508.44315	308
508.70123	294
508.95929	293
509.21735	301
509.4754	303
509.73346	290
509.99152	299
510.24957	315
510.50763	288
510.76569	306
511.02371	314
511.28174	297
511.53979	312
511.79782	296
512.05585	309
512.3139	306
512.5719	319
