Date and Time:                Thu Apr 18 12:10:27.398 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	309
448.24188	311
448.50052	299
448.75912	310
449.01776	307
449.2764	298
449.535	276
449.79364	308
450.05225	295
450.31085	293
450.56949	324
450.82809	283
451.0867	308
451.34531	280
451.60391	300
451.86252	296
452.12112	288
452.37973	295
452.63834	292
452.89691	299
453.15552	299
453.41412	304
453.6727	304
453.9313	287
454.18988	313
454.44846	313
454.70706	276
454.96564	308
455.22421	310
455.48279	298
455.74136	306
455.99994	313
456.25851	301
456.51709	310
456.77567	289
457.03424	279
457.29279	272
457.55136	285
457.80991	320
458.06848	308
458.32703	299
458.5856	300
458.84415	313
459.10269	308
459.36124	286
459.61978	314
459.87833	299
460.13687	305
460.39542	298
460.65396	308
460.91251	305
461.17102	319
461.42957	290
461.68811	302
461.94662	305
462.20514	315
462.46368	306
462.7222	312
462.98071	292
463.23923	312
463.49777	291
463.75629	297
464.01477	296
464.27328	284
464.5318	315
464.79031	310
465.0488	305
465.30731	317
465.56583	284
465.82431	298
466.08279	279
466.34131	300
466.59979	298
466.85828	293
467.11676	292
467.37524	311
467.63373	283
467.89221	296
468.1507	298
468.40918	300
468.66763	301
468.92612	275
469.18457	302
469.44305	282
469.70151	291
469.95999	294
470.21844	318
470.4769	313
470.73535	297
470.9938	287
471.25226	305
471.51071	294
471.76917	267
472.02759	292
472.28604	286
472.54449	291
472.80292	303
473.06137	315
473.31979	286
473.57822	288
473.83664	298
474.09506	308
474.35352	296
474.61191	289
474.87033	301
475.12875	310
475.38718	285
475.6456	307
475.90399	302
476.16241	293
476.42081	305
476.6792	295
476.93762	295
477.19601	297
477.45441	284
477.7128	288
477.97119	292
478.22958	325
478.48798	305
478.74637	291
479.00473	309
479.26312	299
479.52148	304
479.77988	294
480.03824	297
480.2966	306
480.55496	283
480.81335	296
481.07172	300
481.33005	303
481.58841	313
481.84677	298
482.10513	291
482.36346	304
482.62183	309
482.88016	294
483.13852	292
483.39685	289
483.65518	284
483.91351	296
484.17184	297
484.43018	302
484.68851	294
484.94684	284
485.20517	311
485.46347	287
485.7218	312
485.9801	301
486.23843	299
486.49673	299
486.75504	292
487.01334	280
487.27164	291
487.52994	307
487.78824	307
488.04654	300
488.30484	276
488.56311	288
488.82141	298
489.07968	276
489.33798	306
489.59625	302
489.85452	322
490.11279	294
490.37106	303
490.62933	298
490.8876	324
491.14587	297
491.40411	281
491.66238	306
491.92065	306
492.17889	290
492.43713	291
492.69537	290
492.95364	282
493.21188	289
493.47012	313
493.72833	309
493.98657	309
494.24481	319
494.50305	288
494.76126	316
495.0195	298
495.27771	297
495.53592	292
495.79413	304
496.05234	290
496.31055	278
496.56876	295
496.82697	306
497.08517	309
497.34335	289
497.60156	287
497.85974	284
498.11795	299
498.37613	275
498.63431	298
498.89249	305
499.15067	279
499.40884	311
499.66702	309
499.92517	299
500.18335	298
500.44153	295
500.69968	286
500.95782	314
501.216	279
501.47415	307
501.7323	297
501.99045	298
502.24857	288
502.50671	282
502.76486	309
503.02298	309
503.28113	302
503.53925	319
503.79739	299
504.05551	299
504.31363	300
504.57175	299
504.82986	293
505.08798	296
505.34607	313
505.60419	302
505.86227	302
506.12039	312
506.37848	295
506.63657	296
506.89465	313
507.15277	303
507.41083	288
507.66891	286
507.927	319
508.18509	289
508.44315	301
508.70123	323
508.95929	313
509.21735	291
509.4754	267
509.73346	289
509.99152	316
510.24957	311
510.50763	302
510.76569	298
511.02371	310
511.28174	305
511.53979	296
511.79782	302
512.05585	301
512.3139	286
512.5719	287
