Date and Time:                Tue Apr 16 15:49:05.283 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



447.98325	12938
448.24188	13174
448.50052	13108
448.75912	13441
449.01776	13559
449.2764	13499
449.535	13581
449.79364	13501
450.05225	13981
450.31085	13543
450.56949	13605
450.82809	13217
451.0867	12937
451.34531	12792
451.60391	12421
451.86252	12059
452.12112	11917
452.37973	11443
452.63834	11387
452.89691	11148
453.15552	10982
453.41412	10611
453.6727	10472
453.9313	10185
454.18988	10066
454.44846	9728
454.70706	9624
454.96564	9277
455.22421	9269
455.48279	8986
455.74136	8690
455.99994	8666
456.25851	8443
456.51709	8075
456.77567	8127
457.03424	7929
457.29279	7835
457.55136	7797
457.80991	7692
458.06848	7413
458.32703	7478
458.5856	7360
458.84415	7402
459.10269	7333
459.36124	7099
459.61978	7076
459.87833	6889
460.13687	6855
460.39542	6610
460.65396	6731
460.91251	6741
461.17102	6474
461.42957	6551
461.68811	6292
461.94662	6456
462.20514	6330
462.46368	6289
462.7222	6438
462.98071	6247
463.23923	6280
463.49777	6089
463.75629	6253
464.01477	6218
464.27328	6075
464.5318	6103
464.79031	6201
465.0488	5947
465.30731	6110
465.56583	5979
465.82431	6067
466.08279	6099
466.34131	6060
466.59979	6089
466.85828	5917
467.11676	6114
467.37524	6164
467.63373	6059
467.89221	5978
468.1507	6132
468.40918	6106
468.66763	6008
468.92612	6089
469.18457	6315
469.44305	6148
469.70151	6168
469.95999	6239
470.21844	6315
470.4769	6360
470.73535	6229
470.9938	6445
471.25226	6210
471.51071	6268
471.76917	6239
472.02759	6438
472.28604	6260
472.54449	6243
472.80292	6361
473.06137	6490
473.31979	6606
473.57822	6420
473.83664	6322
474.09506	6473
474.35352	6648
474.61191	6507
474.87033	6613
475.12875	6497
475.38718	6504
475.6456	6538
475.90399	6516
476.16241	6664
476.42081	6551
476.6792	6563
476.93762	6575
477.19601	6645
477.45441	6591
477.7128	6620
477.97119	6628
478.22958	6801
478.48798	6868
478.74637	6766
479.00473	6774
479.26312	6773
479.52148	6680
479.77988	6834
480.03824	6902
480.2966	6798
480.55496	6701
480.81335	6908
481.07172	6810
481.33005	6828
481.58841	6546
481.84677	6825
482.10513	6727
482.36346	6703
482.62183	6713
482.88016	6822
483.13852	6776
483.39685	6868
483.65518	6883
483.91351	6889
484.17184	6707
484.43018	6772
484.68851	6687
484.94684	6851
485.20517	6777
485.46347	6869
485.7218	6803
485.9801	6755
486.23843	6725
486.49673	6860
486.75504	6833
487.01334	6838
487.27164	6808
487.52994	6844
487.78824	6869
488.04654	6716
488.30484	6935
488.56311	6916
488.82141	6753
489.07968	6975
489.33798	6842
489.59625	7119
489.85452	7136
490.11279	7133
490.37106	7184
490.62933	7316
490.8876	7227
491.14587	7125
491.40411	7485
491.66238	7275
491.92065	7580
492.17889	7781
492.43713	7889
492.69537	8106
492.95364	8285
493.21188	8479
493.47012	8832
493.72833	8719
493.98657	9245
494.24481	9604
494.50305	9875
494.76126	10124
495.0195	10631
495.27771	11045
495.53592	11452
495.79413	11779
496.05234	12250
496.31055	13165
496.56876	13739
496.82697	14108
497.08517	14883
497.34335	15344
497.60156	15969
497.85974	16639
498.11795	17402
498.37613	17862
498.63431	18511
498.89249	19080
499.15067	19701
499.40884	20520
499.66702	21002
499.92517	21886
500.18335	22455
500.44153	23176
500.69968	24114
500.95782	24614
501.216	25291
501.47415	26307
501.7323	26735
501.99045	27589
502.24857	28320
502.50671	28426
502.76486	29816
503.02298	30110
503.28113	30667
503.53925	31738
503.79739	32468
504.05551	32871
504.31363	33398
504.57175	33889
